Wall time,Step,Value
1569095114.0690866,3497,96.875
1569095114.3573155,3509,96.875
1569095114.4321156,3512,96.875
1569095114.6176183,3519,98.4375
1569095115.0574436,3535,96.875
1569095115.103321,3537,92.1875
1569095115.2549145,3543,93.75
1569095115.3606322,3547,98.4375
1569095115.4174802,3549,96.875
1569095115.815417,3563,95.3125
1569095120.9926584,3580,98.4375
1569095121.5172567,3600,100.0
1569095122.0169199,3618,98.4375
1569095122.0737677,3620,98.4375
1569095122.1256297,3622,98.4375
1569095122.2034214,3625,96.875
1569095122.2871976,3628,96.875
1569095122.7429793,3645,98.4375
1569095123.058136,3656,100.0
1569095123.082072,3657,98.4375
1569095123.4141836,3670,96.875
1569095129.0429444,3700,95.3125
1569095129.096799,3702,98.4375
1569095129.737087,3726,96.875
1569095129.8577647,3730,95.3125
1569095129.9116216,3732,98.4375
1569095130.0672047,3738,96.875
1569095130.1489866,3741,98.4375
1569095130.2008467,3743,95.3125
1569095130.423254,3752,96.875
1569095130.6097543,3759,92.1875
1569095130.9707878,3772,96.875
1569095136.1218011,3780,92.1875
1569095136.4628892,3793,96.875
1569095136.5097642,3795,96.875
1569095136.5905483,3798,100.0
1569095136.9076998,3810,96.875
1569095137.0084302,3814,96.875
1569095137.1460629,3819,96.875
1569095137.1969254,3821,98.4375
1569095137.4751825,3831,96.875
1569095137.5868824,3835,96.875
1569095138.36281,3864,96.875
1569095138.4804943,3869,100.0
1569095138.6779659,3876,98.4375
1569095144.4804504,3901,96.875
1569095144.508375,3902,93.75
1569095144.7208068,3910,98.4375
1569095144.9880927,3920,98.4375
1569095145.2454045,3928,95.3125
1569095145.5226636,3935,96.875
1569095145.645336,3939,96.875
1569095145.9804401,3950,100.0
1569095146.179906,3956,100.0
1569095146.3863535,3962,98.4375
1569095152.2596486,3984,95.3125
1569095152.587772,3995,96.875
1569095152.720417,4000,98.4375
1569095152.9847121,4009,100.0
1569095153.0136333,4010,98.4375
1569095153.3407578,4022,100.0
1569095153.6249986,4033,100.0
1569095153.7147584,4036,95.3125
1569095153.9800491,4046,98.4375
1569095154.0079732,4047,98.4375
1569095160.322403,4093,95.3125
1569095160.4500618,4098,98.4375
1569095160.4749954,4099,100.0
1569095160.7343023,4109,100.0
1569095167.4058356,4182,96.875
1569095167.6761134,4193,100.0
1569095167.7040377,4194,96.875
1569095167.7509124,4196,96.875
1569095167.8007789,4198,98.4375
1569095167.8885472,4201,96.875
1569095167.9184642,4202,93.75
1569095175.5748606,4227,93.75
1569095175.7114947,4232,95.3125
1569095175.7793128,4235,96.875
1569095175.996732,4243,98.4375
1569095176.2430732,4254,100.0
1569095176.4624867,4263,100.0
1569095176.539281,4266,96.875
1569095176.5662088,4267,98.4375
1569095176.9641457,4282,98.4375
1569095177.3600867,4298,100.0
1569095177.5166676,4304,100.0
1569095177.6144059,4308,96.875
1569095177.839804,4317,95.3125
1569095177.8896701,4319,100.0
1569095183.0415223,4328,95.3125
1569095183.159206,4332,98.4375
1569095183.3197773,4338,96.875
1569095183.465387,4343,98.4375
1569095184.1974304,4369,96.875
1569095184.4427736,4378,96.875
1569095184.87462,4393,98.4375
1569095185.041174,4400,98.4375
1569095185.183792,4406,100.0
1569095185.2745492,4410,100.0
1569095185.294497,4411,98.4375
1569095190.7173176,4430,98.4375
1569095190.7851353,4433,95.3125
1569095190.931744,4439,100.0
1569095191.6568053,4469,93.75
1569095191.8233595,4475,96.875
1569095191.9370568,4479,98.4375
1569095192.0078673,4482,93.75
1569095192.2053387,4490,95.3125
1569095192.2562053,4492,93.75
